Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1554,-3.21E-03,9.09E-13,-2.27E-03,1.72E-03
1555,-3.20E-03,6.37E-12,-2.28E-03,1.72E-03
1556,-3.10E-03,0.00E+00,-2.42E-03,1.67E-03
1557,-3.29E-03,-1.82E-12,-2.08E-03,2.92E-03
1558,-3.18E-03,-1.82E-12,-2.24E-03,2.80E-03
1559,-3.28E-03,9.09E-13,-2.10E-03,2.91E-03
1560,-3.07E-03,3.64E-12,-2.40E-03,2.72E-03
1561,-3.17E-03,0.00E+00,-2.26E-03,2.79E-03
1562,-3.25E-03,-5.46E-12,-2.06E-03,4.22E-03
1563,-3.34E-03,9.09E-13,-1.91E-03,4.44E-03
1564,-3.15E-03,-3.64E-12,-2.22E-03,4.04E-03
1565,-3.24E-03,9.09E-13,-2.07E-03,4.20E-03
1566,-3.03E-03,4.55E-12,-2.37E-03,3.92E-03
1567,-3.14E-03,0.00E+00,-2.23E-03,4.03E-03
1568,-3.02E-03,-9.09E-13,-2.38E-03,3.91E-03
1569,-3.31E-03,0.00E+00,-1.87E-03,6.97E-03
1570,-3.30E-03,-2.73E-12,-1.88E-03,6.94E-03
1571,-3.21E-03,-9.09E-13,-2.03E-03,6.38E-03
1572,-3.20E-03,5.46E-12,-2.04E-03,6.32E-03
1573,-3.10E-03,0.00E+00,-2.19E-03,6.06E-03
1574,-3.10E-03,0.00E+00,-2.20E-03,6.04E-03
1575,-2.99E-03,-9.09E-13,-2.34E-03,6.02E-03
1576,-2.98E-03,4.55E-12,-2.35E-03,6.03E-03
1577,-3.23E-03,0.00E+00,-1.59E-03,1.21E-02
1578,-3.24E-03,0.00E+00,-1.49E-03,1.42E-02
1579,-3.06E-03,-7.28E-12,-1.60E-03,1.58E-02
1580,-3.15E-03,3.64E-12,-1.44E-03,1.78E-02
1581,-2.87E-03,0.00E+00,-2.27E-03,8.25E-03
1582,-2.82E-03,0.00E+00,-2.33E-03,8.16E-03
1583,-2.95E-03,-1.82E-12,-2.34E-03,6.51E-03
1584,-3.17E-03,0.00E+00,-2.05E-03,6.61E-03
1585,-3.19E-03,0.00E+00,-2.02E-03,6.71E-03
1586,-3.28E-03,-2.73E-12,-1.86E-03,7.47E-03
1587,-3.35E-03,9.09E-13,-1.73E-03,8.01E-03
1588,-3.27E-03,-3.64E-12,-1.59E-03,1.12E-02
1589,-3.00E-03,0.00E+00,-1.71E-03,1.49E-02
1590,-2.94E-03,0.00E+00,-1.80E-03,1.40E-02
1591,-2.87E-03,3.64E-12,-1.72E-03,1.68E-02
1592,-2.86E-03,1.82E-12,-2.45E-03,6.34E-03
1593,-3.19E-03,-7.28E-12,-1.34E-03,1.89E-02
1594,-2.86E-03,0.00E+00,-1.95E-03,1.32E-02
