Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
201,1.47E-03,-3.02E-03,-1.03E-03,6.65E-01
202,1.37E-03,-3.04E-03,-1.10E-03,6.72E-01
203,1.47E-03,-2.97E-03,-1.17E-03,6.72E-01
204,1.34E-03,3.19E-03,-7.05E-04,7.18E-01
205,1.25E-03,3.18E-03,-8.96E-04,7.49E-01
206,1.16E-03,3.26E-03,-6.94E-04,7.36E-01
207,3.12E-03,-1.45E-03,7.01E-04,1.81E+00
208,3.12E-03,-1.54E-03,5.14E-04,1.03E+00
209,3.20E-03,-1.35E-03,5.51E-04,2.06E+00
210,1.15E-03,3.17E-03,-1.05E-03,7.66E-01
211,-1.35E-03,3.24E-03,-4.07E-04,3.24E+00
212,-1.35E-03,3.26E-03,-2.52E-04,4.18E+00
213,-1.19E-03,3.31E-03,-3.21E-04,3.16E+00
214,1.40E-03,3.13E-03,-8.63E-04,7.30E-01
215,9.99E-04,3.18E-03,-1.18E-03,7.89E-01
216,8.44E-04,3.24E-03,-1.13E-03,8.14E-01
217,9.50E-04,3.25E-03,-1.00E-03,7.98E-01
218,1.74E-03,-2.78E-03,-1.25E-03,6.37E-01
219,1.53E-03,3.11E-03,-7.07E-04,6.89E-01
220,1.47E-03,2.92E-03,-1.34E-03,6.77E-01
221,1.98E-03,-2.49E-03,-1.49E-03,5.50E-01
222,2.07E-03,-2.51E-03,-1.32E-03,5.45E-01
223,1.38E-03,-3.08E-03,-9.59E-04,6.58E-01
224,1.23E-03,-3.10E-03,-1.08E-03,6.73E-01
225,1.44E-03,3.19E-03,-5.29E-04,6.82E-01
226,1.39E-03,-2.73E-03,-1.71E-03,6.28E-01
227,1.54E-03,-2.73E-03,-1.58E-03,6.27E-01
228,2.12E-03,-2.38E-03,-1.47E-03,5.06E-01
229,1.59E-03,-2.89E-03,-1.21E-03,6.60E-01
230,1.67E-03,-2.62E-03,-1.63E-03,5.96E-01
231,1.84E-03,-2.50E-03,-1.64E-03,5.58E-01
232,2.00E-03,-2.37E-03,-1.65E-03,5.15E-01
233,-3.12E-04,5.57E-04,3.47E-03,7.63E+00
234,-5.39E-04,5.15E-04,3.44E-03,9.48E+00
235,-3.81E-04,3.53E-04,3.48E-03,5.72E+00
236,-7.20E-04,-9.39E-05,3.45E-03,9.19E+00
237,-5.86E-04,-1.06E-04,3.47E-03,7.13E+00
238,-6.15E-04,3.63E-05,3.47E-03,7.39E+00
239,1.88E-03,-2.38E-03,-1.78E-03,5.28E-01
240,1.58E-03,-2.81E-03,-1.39E-03,6.45E-01
241,-6.67E-04,6.75E-04,3.39E-03,1.21E+01
242,-7.53E-04,5.19E-04,3.40E-03,1.19E+01
243,1.80E-03,2.70E-03,-1.39E-03,5.71E-01
244,1.75E-03,2.65E-03,-1.55E-03,5.57E-01
245,1.67E-03,2.74E-03,-1.47E-03,5.98E-01
246,1.58E-03,2.70E-03,-1.63E-03,5.87E-01
247,1.06E-03,2.95E-03,-1.62E-03,7.14E-01
248,1.24E-03,2.90E-03,-1.59E-03,6.81E-01
249,1.10E-03,2.86E-03,-1.75E-03,6.70E-01
250,-7.91E-04,9.04E-05,3.43E-03,1.03E+01
251,2.22E-03,-2.41E-03,-1.27E-03,4.99E-01
252,1.05E-03,-3.11E-03,-1.22E-03,6.96E-01
253,8.30E-04,-3.14E-03,-1.32E-03,7.18E-01
254,1.05E-03,-3.19E-03,-1.00E-03,6.84E-01
255,-4.82E-04,7.06E-04,3.42E-03,1.07E+01
256,-3.05E-03,-1.72E-03,-2.68E-04,1.57E+00
257,-3.06E-03,-1.72E-03,-8.24E-05,2.12E+00
258,-3.13E-03,-1.60E-03,-1.91E-04,1.91E+00
259,1.12E-03,3.01E-03,-1.47E-03,7.31E-01
260,9.18E-04,4.86E-04,-3.37E-03,4.08E+00
261,1.10E-03,4.33E-04,-3.32E-03,1.29E+00
262,9.91E-04,3.04E-04,-3.37E-03,3.97E+00
263,1.39E-03,2.89E-03,-1.48E-03,6.74E-01
264,1.41E-03,2.80E-03,-1.62E-03,6.39E-01
265,-8.69E-04,5.71E-04,-3.37E-03,4.21E+00
266,-9.53E-04,7.68E-04,-3.30E-03,1.07E+00
267,-7.47E-04,7.25E-04,-3.37E-03,4.35E+00
268,9.18E-04,-4.60E-04,-3.37E-03,3.88E+00
269,1.02E-03,-6.43E-04,-3.31E-03,1.32E+00
270,8.12E-04,-6.25E-04,-3.37E-03,4.12E+00
271,-7.74E-04,-4.80E-04,3.40E-03,1.16E+01
272,-6.01E-04,-5.54E-04,3.42E-03,1.01E+01
273,-5.89E-04,-3.76E-04,3.45E-03,8.20E+00
274,1.15E-03,-3.02E-03,-1.37E-03,6.90E-01
275,-9.22E-04,1.20E-03,-3.18E-03,5.50E-01
276,-8.99E-04,1.06E-03,-3.24E-03,7.33E-01
277,-1.02E-03,1.10E-03,-3.19E-03,5.99E-01
278,1.47E-04,-1.01E-03,-3.37E-03,4.05E+00
279,4.79E-05,-1.15E-03,-3.32E-03,1.32E+00
280,-4.91E-05,-1.02E-03,-3.37E-03,3.92E+00
281,-9.85E-04,1.11E-04,3.38E-03,1.31E+01
282,-1.05E-03,2.77E-04,3.35E-03,1.40E+01
283,-1.17E-03,1.58E-04,3.32E-03,1.47E+01
284,-2.43E-04,1.02E-03,-3.37E-03,3.84E+00
285,-1.53E-04,1.17E-03,-3.32E-03,1.24E+00
286,-4.91E-05,1.04E-03,-3.37E-03,3.79E+00
