Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
163,-6.71E-04,0.00E+00,-1.38E-02,2.48E-01, null
164,-4.20E-04,-3.64E-12,-1.37E-02,3.53E-01, null
165,-8.34E-04,0.00E+00,-1.48E-02,1.05E-01, null
166,-4.29E-04,1.82E-12,-1.49E-02,3.00E-01, null
167,-6.72E-04,0.00E+00,-1.47E-02,2.87E-01, null
168,-9.16E-04,-1.82E-12,-1.44E-02,0.00E+00,1.03E+01
169,-9.13E-04,1.09E-11,-1.49E-02,0.00E+00,1.21E+01
170,-8.81E-04,0.00E+00,-1.49E-02,3.68E-02, null
171,-9.16E-04,3.64E-12,-1.48E-02,0.00E+00,1.19E+01
172,-9.07E-04,-7.28E-12,-1.46E-02,0.00E+00,1.14E+01
173,-6.19E-04,-7.28E-12,-1.49E-02,3.00E-01, null
174,3.34E-04,-7.28E-12,-1.16E-02,4.17E-01, null
175,4.17E-04,0.00E+00,-1.13E-02,4.09E-01, null
176,1.49E-04,0.00E+00,-1.13E-02,4.53E-01, null
177,2.89E-04,0.00E+00,-1.13E-02,4.31E-01, null
178,6.89E-04,0.00E+00,-1.27E-02,1.85E-01, null
179,8.31E-04,0.00E+00,-1.27E-02,7.48E-02, null
180,6.16E-04,0.00E+00,-1.27E-02,2.55E-01, null
181,4.80E-04,0.00E+00,-1.13E-02,3.73E-01, null
182,4.41E-04,0.00E+00,-1.13E-02,3.97E-01, null
183,4.16E-04,0.00E+00,-1.13E-02,4.10E-01, null
184,1.97E-04,-7.28E-12,-1.24E-02,4.15E-01, null
185,-8.07E-05,0.00E+00,-1.23E-02,4.20E-01, null
186,-6.87E-05,0.00E+00,-1.26E-02,4.23E-01, null
187,8.41E-05,0.00E+00,-1.26E-02,4.20E-01, null
188,-3.61E-05,0.00E+00,-1.16E-02,4.51E-01, null
189,1.54E-05,0.00E+00,-1.16E-02,4.49E-01, null
190,-2.14E-05,0.00E+00,-1.16E-02,4.50E-01, null
191,9.07E-04,7.28E-12,-1.13E-02,0.00E+00,5.38E+00
192,8.08E-04,-7.28E-12,-1.13E-02,8.11E-02, null
193,7.53E-04,0.00E+00,-1.12E-02,1.54E-01, null
194,6.58E-04,0.00E+00,-1.12E-02,2.35E-01, null
195,-2.59E-04,7.28E-12,-1.23E-02,4.14E-01, null
196,-3.24E-04,0.00E+00,-1.26E-02,4.02E-01, null
197,-1.32E-04,0.00E+00,-1.27E-02,4.14E-01, null
198,6.18E-04,0.00E+00,-1.25E-02,2.58E-01, null
199,4.84E-04,0.00E+00,-1.25E-02,3.18E-01, null
200,4.88E-04,-7.28E-12,-1.27E-02,3.30E-01, null
201,7.06E-04,0.00E+00,-1.16E-02,1.87E-01, null
202,8.73E-04,9.09E-13,-1.16E-02,4.13E-02, null
203,6.52E-04,0.00E+00,-1.16E-02,2.36E-01, null
204,5.03E-04,7.28E-12,-1.28E-02,3.19E-01, null
205,9.15E-04,0.00E+00,-1.26E-02,0.00E+00,5.90E+00
206,9.08E-04,-7.28E-12,-1.24E-02,0.00E+00,5.94E+00
207,7.87E-04,0.00E+00,-1.23E-02,1.17E-01, null
208,6.95E-05,0.00E+00,-1.17E-02,4.41E-01, null
209,5.06E-06,-9.09E-13,-1.19E-02,4.46E-01, null
210,4.79E-04,0.00E+00,-1.14E-02,3.72E-01, null
211,6.38E-04,7.28E-12,-1.23E-02,2.54E-01, null
212,6.33E-04,-7.28E-12,-1.22E-02,2.55E-01, null
213,-3.10E-04,7.28E-12,-1.27E-02,4.00E-01, null
214,9.17E-04,5.46E-12,-1.15E-02,0.00E+00,5.54E+00
215,6.52E-04,-7.28E-12,-1.17E-02,2.34E-01, null
216,6.50E-04,0.00E+00,-1.11E-02,2.37E-01, null
217,5.30E-04,0.00E+00,-1.16E-02,3.17E-01, null
218,7.86E-05,0.00E+00,-1.27E-02,4.15E-01, null
219,9.95E-06,-1.09E-11,-1.26E-02,4.19E-01, null
220,9.14E-04,-9.09E-12,-1.21E-02,0.00E+00,5.81E+00
221,8.57E-04,1.82E-12,-1.20E-02,6.01E-02, null
222,7.10E-04,-7.28E-12,-1.22E-02,1.80E-01, null
223,6.66E-04,0.00E+00,-1.21E-02,2.41E-01, null
224,6.71E-04,7.28E-12,-1.19E-02,2.29E-01, null
225,6.03E-04,0.00E+00,-1.28E-02,2.59E-01, null
226,9.16E-04,-1.82E-12,-1.21E-02,0.00E+00,5.84E+00
227,9.16E-06,0.00E+00,-1.20E-02,4.42E-01, null
228,2.50E-05,2.73E-12,-1.20E-02,4.42E-01, null
229,9.15E-04,-3.64E-12,-1.28E-02,0.00E+00,6.05E+00
230,7.47E-04,7.28E-12,-1.29E-02,1.44E-01, null
231,4.34E-04,3.64E-12,-1.23E-02,3.30E-01, null
232,7.58E-04,-3.64E-12,-1.19E-02,1.55E-01, null
233,7.44E-04,3.64E-12,-1.17E-02,1.57E-01, null
234,9.11E-04,-3.64E-12,-1.27E-02,0.00E+00,5.90E+00
235,8.47E-04,-3.64E-12,-1.26E-02,6.34E-02, null
236,2.73E-04,0.00E+00,-1.26E-02,4.07E-01, null
237,1.03E-04,0.00E+00,-1.21E-02,4.35E-01, null
238,2.13E-05,0.00E+00,-1.20E-02,4.42E-01, null
239,3.65E-05,1.82E-12,-1.14E-02,4.59E-01, null
240,-2.61E-04,0.00E+00,-1.14E-02,4.26E-01, null
241,9.15E-04,-9.09E-12,-1.15E-02,0.00E+00,5.56E+00
242,3.25E-04,0.00E+00,-1.19E-02,4.06E-01, null
243,3.91E-04,0.00E+00,-1.20E-02,4.03E-01, null
244,9.17E-04,5.46E-12,-1.16E-02,0.00E+00,5.57E+00
245,9.07E-04,7.28E-12,-1.18E-02,0.00E+00,5.65E+00
246,-3.38E-04,3.64E-12,-1.18E-02,4.17E-01, null
247,-1.02E-04,0.00E+00,-1.16E-02,4.47E-01, null
248,-3.41E-04,0.00E+00,-1.17E-02,4.09E-01, null
249,9.16E-04,3.64E-12,-1.20E-02,0.00E+00,5.79E+00
250,3.42E-04,0.00E+00,-1.22E-02,4.08E-01, null
251,4.98E-04,1.82E-12,-1.20E-02,3.44E-01, null
252,4.65E-04,0.00E+00,-1.19E-02,3.34E-01, null
253,4.30E-04,0.00E+00,-1.21E-02,3.83E-01, null
254,-2.97E-04,7.28E-12,-1.21E-02,4.16E-01, null
255,-2.45E-05,0.00E+00,-1.20E-02,4.40E-01, null
256,-6.67E-06,2.73E-12,-1.21E-02,4.41E-01, null
257,2.32E-04,0.00E+00,-1.25E-02,4.11E-01, null
258,3.94E-04,-3.64E-12,-1.21E-02,3.96E-01, null
259,9.41E-06,0.00E+00,-1.20E-02,4.42E-01, null
260,3.65E-04,0.00E+00,-1.17E-02,4.11E-01, null
261,-3.58E-04,7.28E-12,-1.20E-02,4.00E-01, null
262,-3.33E-04,-9.09E-13,-1.13E-02,4.17E-01, null
263,5.52E-05,-1.09E-11,-1.13E-02,4.58E-01, null
264,-3.41E-04,1.82E-12,-1.13E-02,4.15E-01, null
265,9.49E-05,-1.09E-11,-1.13E-02,4.58E-01, null
266,-4.75E-06,1.46E-11,-1.27E-02,4.17E-01, null
267,1.48E-04,-3.64E-12,-1.12E-02,4.53E-01, null
268,8.93E-05,0.00E+00,-1.12E-02,4.59E-01, null
269,-6.50E-04,-7.28E-12,-1.21E-02,2.30E-01, null
270,-6.38E-04,0.00E+00,-1.22E-02,2.46E-01, null
271,-4.59E-04,0.00E+00,-1.19E-02,3.44E-01, null
272,-4.50E-04,0.00E+00,-1.21E-02,3.57E-01, null
273,-9.17E-04,-3.64E-12,-1.27E-02,0.00E+00,6.06E+00
274,-9.16E-04,0.00E+00,-1.27E-02,0.00E+00,6.04E+00
275,-8.76E-04,-9.09E-13,-1.27E-02,4.05E-02, null
276,-8.99E-04,0.00E+00,-1.27E-02,1.76E-02, null
277,-6.89E-04,-1.82E-12,-1.14E-02,2.03E-01, null
278,-6.88E-04,-1.82E-12,-1.13E-02,1.99E-01, null
279,-3.72E-04,0.00E+00,-1.13E-02,3.97E-01, null
280,-3.45E-04,1.82E-12,-1.13E-02,4.10E-01, null
281,-7.84E-04,0.00E+00,-1.25E-02,1.18E-01, null
282,-6.35E-04,7.28E-12,-1.25E-02,2.49E-01, null
283,-9.07E-04,-7.28E-12,-1.24E-02,0.00E+00,5.90E+00
284,-9.17E-04,-4.55E-12,-1.26E-02,0.00E+00,6.02E+00
285,-7.87E-04,-7.28E-12,-1.23E-02,1.13E-01, null
286,-6.38E-04,0.00E+00,-1.23E-02,2.43E-01, null
287,-6.47E-04,0.00E+00,-1.17E-02,2.29E-01, null
288,-6.22E-04,0.00E+00,-1.19E-02,2.29E-01, null
289,-7.78E-04,7.28E-12,-1.18E-02,1.07E-01, null
290,-4.44E-04,0.00E+00,-1.24E-02,3.40E-01, null
291,-9.04E-04,-3.64E-12,-1.21E-02,1.10E-02, null
292,-9.07E-04,7.28E-12,-1.18E-02,0.00E+00,5.61E+00
293,-7.81E-04,0.00E+00,-1.17E-02,1.15E-01, null
294,-9.16E-04,1.00E-11,-1.21E-02,0.00E+00,5.58E+00
295,-9.03E-04,0.00E+00,-1.21E-02,1.26E-02, null
296,-7.10E-04,-1.82E-12,-1.14E-02,1.81E-01, null
297,-8.29E-04,0.00E+00,-1.15E-02,7.93E-02, null
298,-6.30E-04,0.00E+00,-1.16E-02,2.33E-01, null
299,-7.26E-04,0.00E+00,-1.16E-02,1.56E-01, null
300,-9.17E-04,0.00E+00,-1.21E-02,0.00E+00,5.58E+00
301,-6.91E-04,-1.82E-12,-1.13E-02,2.02E-01, null
302,-7.26E-04,-1.82E-12,-1.13E-02,1.69E-01, null
303,-4.66E-04,7.28E-12,-1.27E-02,3.34E-01, null
304,-6.35E-04,3.64E-12,-1.28E-02,2.62E-01, null
305,-6.88E-04,-7.28E-12,-1.28E-02,2.13E-01, null
306,-9.17E-04,5.46E-12,-1.15E-02,0.00E+00,5.52E+00
307,-9.15E-04,0.00E+00,-1.15E-02,0.00E+00,5.53E+00
308,-4.90E-04,0.00E+00,-1.17E-02,3.24E-01, null
309,-9.17E-04,-1.82E-12,-1.16E-02,0.00E+00,5.56E+00
310,-9.17E-04,9.09E-13,-1.21E-02,0.00E+00,5.59E+00
311,-9.07E-04,-7.28E-12,-1.13E-02,0.00E+00,5.35E+00
312,-4.61E-04,0.00E+00,-1.23E-02,3.34E-01, null
313,-3.62E-04,1.82E-12,-1.13E-02,4.03E-01, null
314,-2.59E-04,0.00E+00,-9.95E-03,4.36E-01, null
315,-3.02E-04,0.00E+00,-1.00E-02,4.20E-01, null
316,-3.51E-04,-3.64E-12,-9.90E-03,4.24E-01, null
317,-6.20E-05,7.28E-12,-1.09E-02,4.61E-01, null
318,-5.87E-05,9.09E-13,-1.09E-02,4.61E-01, null
319,-8.31E-05,-1.82E-12,-1.09E-02,4.62E-01, null
320,9.11E-04,0.00E+00,-1.02E-02,0.00E+00,5.19E+00
321,8.71E-04,-1.09E-11,-1.03E-02,3.62E-02, null
322,6.99E-04,1.82E-12,-1.01E-02,1.97E-01, null
323,9.17E-04,-9.09E-13,-1.10E-02,0.00E+00,5.32E+00
324,8.80E-04,2.73E-12,-1.10E-02,3.67E-02, null
325,6.42E-04,0.00E+00,-1.08E-02,2.55E-01, null
326,6.70E-04,1.82E-12,-1.08E-02,2.32E-01, null
327,7.14E-04,0.00E+00,-1.11E-02,1.84E-01, null
328,9.14E-04,0.00E+00,-1.02E-02,0.00E+00,5.16E+00
329,9.15E-04,-1.82E-12,-1.03E-02,0.00E+00,5.19E+00
330,6.47E-04,3.64E-12,-1.08E-02,2.54E-01, null
331,5.85E-04,-3.64E-12,-1.09E-02,2.93E-01, null
332,6.18E-04,0.00E+00,-1.01E-02,2.68E-01, null
333,6.37E-04,4.55E-12,-1.00E-02,2.53E-01, null
334,6.08E-04,0.00E+00,-1.01E-02,2.79E-01, null
335,-7.26E-05,0.00E+00,-1.03E-02,4.42E-01, null
336,-5.30E-05,0.00E+00,-1.04E-02,4.56E-01, null
337,2.75E-04,0.00E+00,-1.03E-02,4.38E-01, null
338,2.53E-04,-1.82E-12,-1.04E-02,4.42E-01, null
339,9.07E-04,0.00E+00,-1.07E-02,0.00E+00,5.10E+00
340,9.04E-04,-7.28E-12,-1.06E-02,0.00E+00,5.18E+00
341,6.99E-04,0.00E+00,-1.06E-02,1.88E-01, null
342,6.08E-04,0.00E+00,-1.01E-02,2.79E-01, null
343,6.88E-04,3.64E-12,-1.08E-02,2.17E-01, null
344,3.37E-04,7.28E-12,-1.10E-02,4.19E-01, null
345,-3.38E-05,0.00E+00,-1.10E-02,4.64E-01, null
346,6.21E-04,-1.82E-12,-1.07E-02,2.74E-01, null
347,5.66E-04,0.00E+00,-1.06E-02,3.00E-01, null
348,5.83E-04,0.00E+00,-1.04E-02,2.76E-01, null
349,2.71E-04,0.00E+00,-9.72E-03,4.26E-01, null
350,-1.38E-04,7.28E-12,-9.49E-03,4.60E-01, null
351,-3.52E-05,0.00E+00,-9.72E-03,4.46E-01, null
352,4.58E-04,0.00E+00,-9.73E-03,3.52E-01, null
353,6.50E-04,3.64E-12,-9.67E-03,2.48E-01, null
354,6.31E-04,-7.28E-12,-9.77E-03,2.54E-01, null
355,5.35E-04,3.64E-12,-1.11E-02,3.17E-01, null
356,4.90E-04,0.00E+00,-1.06E-02,3.39E-01, null
357,3.26E-04,-7.28E-12,-1.09E-02,4.25E-01, null
358,-2.57E-04,-1.46E-11,-1.01E-02,4.36E-01, null
359,-3.25E-04,0.00E+00,-1.01E-02,4.17E-01, null
360,-1.98E-04,0.00E+00,-9.65E-03,4.41E-01, null
361,9.02E-04,7.28E-12,-9.27E-03,0.00E+00,5.10E+00
362,9.14E-04,7.28E-12,-9.50E-03,0.00E+00,5.15E+00
363,7.34E-04,7.28E-12,-9.43E-03,1.49E-01, null
364,8.39E-04,-3.64E-12,-9.59E-03,6.70E-02, null
365,-9.53E-05,-1.82E-12,-1.09E-02,4.62E-01, null
366,3.09E-04,0.00E+00,-1.03E-02,4.32E-01, null
367,-1.35E-04,-9.09E-13,-1.09E-02,4.48E-01, null
368,-9.12E-05,7.28E-12,-1.09E-02,4.62E-01, null
369,-2.21E-04,0.00E+00,-1.11E-02,4.39E-01, null
370,-2.19E-04,7.28E-12,-9.47E-03,4.57E-01, null
371,-2.55E-04,7.28E-12,-1.04E-02,4.33E-01, null
372,7.46E-04,-3.64E-12,-9.82E-03,1.60E-01, null
373,-1.68E-04,7.28E-12,-9.38E-03,4.58E-01, null
374,-5.51E-06,0.00E+00,-9.36E-03,4.53E-01, null
375,-3.74E-04,0.00E+00,-1.05E-02,4.19E-01, null
376,-2.61E-04,7.28E-12,-1.06E-02,4.31E-01, null
377,6.17E-04,-7.28E-12,-9.48E-03,2.57E-01, null
378,3.69E-04,0.00E+00,-9.66E-03,3.97E-01, null
379,5.96E-04,9.09E-13,-1.01E-02,2.84E-01, null
380,3.10E-04,0.00E+00,-9.59E-03,4.26E-01, null
381,4.57E-04,0.00E+00,-9.39E-03,3.40E-01, null
382,2.64E-04,7.28E-12,-1.07E-02,4.26E-01, null
383,9.07E-04,-7.28E-12,-9.62E-03,0.00E+00,5.16E+00
384,8.29E-04,0.00E+00,-1.09E-02,8.46E-02, null
385,9.15E-04,-1.00E-11,-1.10E-02,0.00E+00,5.31E+00
386,9.13E-04,-7.28E-12,-9.71E-03,0.00E+00,5.12E+00
387,6.60E-05,1.46E-11,-1.01E-02,4.33E-01, null
388,-3.70E-04,0.00E+00,-1.04E-02,4.01E-01, null
389,-5.05E-04,0.00E+00,-1.10E-02,3.42E-01, null
390,-3.49E-04,9.09E-13,-1.13E-02,4.14E-01, null
391,9.06E-04,0.00E+00,-9.92E-03,0.00E+00,5.07E+00
392,9.17E-04,-3.64E-12,-1.09E-02,0.00E+00,5.29E+00
393,6.16E-04,-9.09E-13,-1.00E-02,2.75E-01, null
394,-3.97E-04,0.00E+00,-1.06E-02,4.18E-01, null
395,8.93E-05,0.00E+00,-9.87E-03,4.38E-01, null
396,-2.08E-04,1.09E-11,-1.00E-02,4.33E-01, null
397,2.41E-04,-7.28E-12,-9.28E-03,4.35E-01, null
398,1.23E-04,0.00E+00,-1.06E-02,4.47E-01, null
