Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
234,-2.49E-03,1.83E-03,8.08E-04,1.85E-01
235,-2.23E-03,2.19E-03,-1.97E-04,5.98E-02
236,1.48E-03,9.09E-04,-2.22E-03,7.75E-02
237,9.82E-04,-1.52E-03,-2.16E-03,1.30E-01
238,1.57E-03,-4.59E-04,-2.33E-03,7.37E-02
239,-2.73E-03,1.03E-03,2.80E-05,1.79E-01
240,-1.10E-04,2.91E-03,-1.00E-04,1.29E-01
241,-1.93E-04,1.10E-03,-3.01E-03,1.59E-01
242,1.19E-03,-8.17E-04,-2.54E-03,8.82E-02
243,-1.93E-03,3.35E-03,6.12E-05,1.10E-01
244,-1.57E-03,2.68E-03,1.94E-03,2.17E-01
245,2.66E-03,3.73E-04,1.94E-03,1.46E-02
246,-2.69E-03,5.45E-04,8.94E-04,2.73E-01
247,1.01E-03,4.10E-04,-3.27E-03,1.27E-01
248,-4.71E-04,3.50E-03,7.27E-04,2.98E-02
249,-9.72E-04,2.74E-04,-3.72E-03,2.13E-01
250,-4.66E-04,9.73E-04,-3.56E-03,1.79E-01
251,-2.50E-03,3.49E-03,1.19E-03,1.42E-01
252,2.97E-03,8.72E-04,1.23E-03,1.63E-02
253,-4.65E-04,3.39E-03,1.57E-03,9.65E-02
254,-2.76E-04,-9.78E-04,-3.80E-03,2.12E-01
255,2.81E-03,-2.88E-04,1.84E-03,1.32E-02
256,-1.19E-03,3.29E-03,2.17E-03,2.18E-01
257,6.86E-04,8.61E-04,-3.80E-03,1.38E-01
258,-1.83E-03,4.17E-03,3.63E-04,1.05E-01
259,3.40E-03,1.16E-04,7.29E-04,1.67E-02
260,-5.01E-04,4.00E-03,9.09E-04,2.36E-02
261,-2.56E-05,1.03E-03,-4.18E-03,2.08E-01
262,6.39E-04,-8.23E-04,-4.29E-03,1.76E-01
263,-1.91E-03,3.85E-03,2.30E-03,2.35E-01
264,-7.33E-04,-6.99E-04,-4.44E-03,2.10E-01
265,-1.02E-03,-6.87E-05,-4.51E-03,2.04E-01
266,-6.99E-04,3.86E-03,2.03E-03,1.60E-01
267,3.40E-03,-2.84E-04,9.54E-04,1.44E-02
268,-2.56E-03,4.29E-03,1.50E-03,1.43E-01
269,-1.12E-03,4.00E-03,2.45E-03,1.87E-01
270,-5.25E-04,8.22E-04,-4.72E-03,2.57E-01
271,-1.25E-03,4.81E-03,6.20E-04,9.47E-02
272,8.65E-04,5.82E-04,-4.74E-03,1.83E-01
273,-9.05E-04,-4.33E-04,-4.94E-03,2.13E-01
274,-4.96E-04,4.59E-03,1.44E-03,4.50E-02
275,-1.44E-03,4.42E-03,2.67E-03,2.32E-01
276,1.75E-04,-1.03E-03,-5.01E-03,2.03E-01
277,-5.18E-04,8.12E-04,-5.48E-03,2.37E-01
278,-8.94E-04,5.33E-03,1.05E-03,7.05E-02
279,-2.46E-03,4.95E-03,2.13E-03,1.80E-01
280,4.91E-04,9.03E-04,-5.38E-03,2.25E-01
281,9.59E-04,-3.73E-04,-5.39E-03,2.04E-01
282,-5.91E-04,4.97E-03,2.28E-03,1.29E-01
283,-4.86E-04,-8.72E-04,-5.60E-03,2.16E-01
284,-1.79E-03,5.63E-03,1.03E-03,5.90E-02
285,-1.63E-03,4.98E-03,3.03E-03,2.31E-01
286,9.26E-04,4.85E-04,-5.82E-03,1.92E-01
287,6.85E-05,1.08E-03,-5.97E-03,1.62E-01
288,-6.22E-04,5.67E-03,1.64E-03,7.32E-02
289,-9.62E-04,2.74E-04,-6.08E-03,2.36E-01
290,-2.38E-03,5.36E-03,2.70E-03,1.93E-01
291,-9.74E-04,5.29E-03,3.10E-03,1.82E-01
292,-2.36E-03,6.00E-03,1.96E-03,1.09E-01
293,-8.32E-04,-5.55E-04,-6.28E-03,2.24E-01
294,1.59E-04,-9.94E-04,-6.28E-03,2.05E-01
295,-4.75E-04,5.77E-03,2.51E-03,8.11E-02
296,9.61E-04,-3.99E-04,-6.03E-03,1.96E-01
297,-1.38E-03,5.41E-03,3.49E-03,1.98E-01
298,-1.40E-03,6.57E-03,1.74E-03,6.39E-02
299,-2.03E-03,5.51E-03,3.30E-03,2.29E-01
300,-9.50E-05,9.55E-04,-6.66E-03,2.40E-01
301,9.87E-04,-6.80E-05,-6.77E-03,2.32E-01
302,-2.21E-03,6.84E-03,2.65E-03,9.80E-02
303,-7.39E-04,6.81E-03,2.37E-03,4.80E-02
304,-6.40E-04,-7.05E-04,-6.90E-03,2.57E-01
305,-8.39E-04,5.95E-03,3.91E-03,1.70E-01
306,-5.17E-04,6.44E-03,3.33E-03,1.14E-01
307,-2.47E-03,6.31E-03,3.69E-03,1.72E-01
308,2.63E-04,-9.28E-04,-6.98E-03,2.65E-01
309,-6.15E-04,7.58E-04,-7.26E-03,2.55E-01
310,-1.83E-03,5.63E-03,4.24E-03,9.65E-02
311,-1.75E-03,7.40E-03,3.38E-03,9.43E-02
312,6.72E-04,-6.94E-04,-7.41E-03,2.33E-01
313,-6.88E-04,7.21E-03,4.00E-03,9.92E-02
314,9.05E-04,4.24E-04,-7.47E-03,2.27E-01
315,-4.81E-04,6.41E-03,4.50E-03,1.26E-01
316,-6.42E-04,-7.39E-04,-7.68E-03,2.40E-01
317,3.22E-04,-9.70E-04,-7.71E-03,1.97E-01
318,-2.33E-03,5.96E-03,4.70E-03,9.97E-02
319,-2.19E-03,7.33E-03,4.25E-03,1.08E-01
320,2.20E-04,9.24E-04,-7.87E-03,2.56E-01
321,-1.15E-03,5.64E-03,4.73E-03,9.12E-02
322,-6.80E-04,7.50E-04,-8.02E-03,2.34E-01
323,-1.33E-03,7.45E-03,4.89E-03,1.39E-01
324,-5.32E-04,6.85E-03,5.06E-03,1.25E-01
325,-5.64E-04,6.17E-03,5.26E-03,1.26E-01
326,9.48E-04,3.72E-04,-8.26E-03,2.23E-01
327,-2.35E-03,6.96E-03,5.08E-03,1.86E-01
328,7.87E-04,-6.27E-04,-8.31E-03,2.24E-01
329,-7.62E-04,-5.66E-04,-8.37E-03,2.66E-01
330,-1.80E-03,5.57E-03,5.34E-03,5.88E-02
331,-2.45E-03,6.18E-03,5.41E-03,1.45E-01
332,2.49E-04,-9.57E-04,-8.50E-03,2.32E-01
333,-2.42E-04,9.63E-04,-8.45E-03,2.40E-01
334,-1.26E-03,5.52E-03,5.37E-03,6.87E-02
335,-1.42E-03,7.37E-03,5.63E-03,1.58E-01
336,-5.10E-04,6.29E-03,5.94E-03,1.30E-01
337,9.45E-04,-2.52E-04,-8.99E-03,2.37E-01
338,-2.23E-03,7.09E-03,6.09E-03,1.49E-01
339,-2.28E-03,5.81E-03,6.21E-03,1.10E-01
340,-3.14E-04,-8.85E-04,-9.11E-03,2.80E-01
341,4.16E-04,8.81E-04,-8.99E-03,2.67E-01
342,-9.57E-04,3.36E-04,-9.07E-03,2.21E-01
343,-9.72E-04,5.45E-03,6.46E-03,1.04E-01
344,-1.34E-03,7.20E-03,6.71E-03,1.66E-01
345,8.66E-04,4.92E-04,-9.50E-03,2.51E-01
346,-2.40E-03,6.58E-03,6.99E-03,1.55E-01
347,-2.76E-04,9.54E-04,-9.66E-03,2.54E-01
348,-5.22E-04,-8.47E-04,-9.79E-03,2.06E-01
349,-1.20E-03,5.15E-03,6.97E-03,6.58E-02
350,4.54E-04,9.12E-04,-9.98E-03,2.29E-01
351,-9.71E-04,-3.08E-04,-1.01E-02,2.26E-01
352,-2.32E-03,5.60E-03,7.31E-03,1.07E-01
353,-5.41E-04,5.96E-03,7.45E-03,1.30E-01
354,3.55E-04,-8.65E-04,-1.01E-02,2.77E-01
355,-1.68E-03,6.96E-03,7.80E-03,1.66E-01
356,-5.81E-04,-8.46E-04,-1.05E-02,1.82E-01
357,-1.34E-03,4.98E-03,7.61E-03,6.16E-02
358,-4.87E-04,5.69E-03,8.12E-03,1.10E-01
359,-2.32E-03,6.44E-03,8.06E-03,1.71E-01
360,-9.33E-04,-4.08E-04,-1.08E-02,2.16E-01
361,-9.12E-04,4.91E-04,-1.08E-02,2.00E-01
362,-2.36E-03,5.43E-03,8.11E-03,1.05E-01
363,-1.49E-03,6.77E-03,8.58E-03,1.82E-01
364,-1.76E-03,4.80E-03,8.49E-03,7.24E-02
365,-9.28E-04,4.93E-03,8.56E-03,8.41E-02
366,-5.49E-04,6.06E-03,8.79E-03,1.28E-01
367,-2.17E-03,6.51E-03,8.80E-03,1.48E-01
368,-1.41E-03,6.61E-03,9.42E-03,1.63E-01
369,-9.26E-04,4.80E-03,9.05E-03,8.74E-02
370,-2.47E-03,5.44E-03,9.25E-03,9.61E-02
371,7.21E-04,-6.92E-04,-1.22E-02,2.47E-01
372,-4.93E-04,5.77E-03,9.42E-03,1.13E-01
373,-2.15E-03,6.35E-03,9.58E-03,1.54E-01
374,-1.08E-03,4.63E-03,9.69E-03,9.70E-02
375,-2.19E-03,4.81E-03,9.83E-03,8.49E-02
376,-2.02E-03,6.32E-03,1.02E-02,1.42E-01
377,-1.30E-03,6.44E-03,1.01E-02,1.53E-01
378,2.16E-04,1.02E-03,-1.26E-02,2.46E-01
379,-5.24E-04,5.57E-03,1.02E-02,1.26E-01
380,-8.30E-04,-5.57E-04,-1.26E-02,2.52E-01
381,-1.77E-03,4.42E-03,1.05E-02,9.34E-02
382,-2.43E-03,5.60E-03,1.07E-02,1.14E-01
383,-1.32E-03,6.25E-03,1.09E-02,1.50E-01
384,6.27E-04,-8.48E-04,-1.30E-02,2.10E-01
385,-1.25E-03,4.33E-03,1.07E-02,8.51E-02
386,-5.08E-04,5.43E-03,1.09E-02,1.21E-01
387,7.87E-05,1.07E-03,-1.34E-02,2.42E-01
388,-1.66E-03,6.17E-03,1.16E-02,1.32E-01
389,-2.02E-03,4.38E-03,1.11E-02,8.77E-02
