Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
1595,-1.93E-03,-1.14E-03,-3.03E-04,1.31E+00
1596,-4.61E-04,1.74E-03,-1.39E-03,1.13E+00
1597,-3.78E-04,1.85E-03,-1.27E-03,1.24E+00
1598,-1.51E-03,1.48E-03,-8.35E-04,1.49E+00
1599,7.96E-05,-1.66E-03,-1.52E-03,7.68E-01
1600,-1.81E-03,-1.26E-03,-4.92E-04,1.18E+00
1601,-1.86E-03,-1.03E-03,-7.66E-04,1.22E+00
1602,-1.50E-03,1.03E-03,-1.36E-03,1.19E+00
1603,1.11E-03,1.32E-03,-1.48E-03,9.62E-01
1604,2.05E-03,-3.00E-04,-9.06E-04,5.04E-01
1605,1.68E-03,-2.83E-04,-1.49E-03,2.60E-01
1606,-1.11E-04,-1.70E-03,-1.48E-03,7.36E-01
1607,6.30E-05,1.76E-03,-1.44E-03,6.00E-01
1608,1.71E-03,2.66E-04,-1.46E-03,5.87E-01
1609,1.50E-03,7.27E-04,-1.54E-03,9.02E-01
1610,1.58E-03,5.44E-04,-1.54E-03,8.01E-01
1611,-1.20E-03,1.63E-03,-1.05E-03,1.60E+00
1612,-1.97E-03,-1.01E-03,-4.53E-04,1.31E+00
1613,1.41E-03,8.92E-04,-1.54E-03,9.64E-01
1614,-5.75E-04,1.60E-03,-1.51E-03,1.08E+00
1615,-3.42E-04,-1.70E-03,-1.44E-03,7.67E-01
1616,1.28E-03,1.14E-03,-1.49E-03,9.74E-01
1617,1.40E-03,-1.75E-03,2.83E-04,1.13E+00
1618,5.57E-04,1.64E-03,-1.48E-03,7.43E-01
1619,-1.77E-03,-1.05E-03,-9.38E-04,1.22E+00
1620,1.06E-03,1.96E-03,-4.62E-04,1.10E+00
1621,1.96E-03,9.07E-04,-6.94E-04,7.35E-01
1622,6.92E-04,9.10E-04,1.96E-03,9.38E+00
1623,7.02E-04,1.04E-03,1.89E-03,9.21E+00
1624,5.55E-04,1.04E-03,1.95E-03,9.11E+00
1625,-5.62E-04,1.81E-03,-1.26E-03,1.41E+00
1626,-7.64E-04,1.50E-03,-1.53E-03,1.22E+00
1627,-1.91E-03,-1.04E-03,-5.93E-04,1.25E+00
1628,-1.10E-03,-1.24E-03,-1.53E-03,1.17E+00
1629,-3.30E-04,1.66E-03,-1.52E-03,7.98E-01
1630,1.94E-03,-9.83E-04,-6.29E-04,7.36E-01
1631,8.74E-04,9.57E-04,1.87E-03,9.05E+00
1632,7.89E-04,1.12E-03,1.82E-03,8.89E+00
1633,-1.60E-03,-1.04E-03,-1.22E-03,1.21E+00
1634,1.52E-03,-1.63E-03,3.23E-04,1.23E+00
1635,1.45E-03,-1.67E-03,4.47E-04,1.36E+00
1636,1.58E-03,-7.16E-04,-1.45E-03,5.62E-01
1637,-9.14E-04,1.43E-03,-1.52E-03,1.30E+00
1638,7.76E-04,-1.14E-03,1.79E-03,7.93E+00
1639,9.17E-04,-1.12E-03,1.74E-03,7.50E+00
1640,8.64E-04,-1.01E-03,1.83E-03,8.22E+00
1641,2.24E-04,-1.64E-03,-1.54E-03,8.52E-01
1642,7.52E-04,-9.88E-04,1.89E-03,8.69E+00
1643,5.20E-04,-1.60E-03,-1.50E-03,9.88E-01
1644,-1.99E-03,-1.02E-03,-3.23E-04,1.40E+00
1645,-1.95E-03,1.01E-03,-5.86E-04,1.39E+00
1646,-1.95E-03,1.10E-03,-3.81E-04,1.54E+00
1647,-1.85E-03,1.21E-03,-5.54E-04,1.42E+00
1648,9.18E-04,-1.39E-03,-1.53E-03,1.01E+00
1649,1.14E-03,-1.16E-03,-1.57E-03,9.31E-01
1650,8.27E-04,2.01E-03,-6.91E-04,1.26E+00
1651,1.24E-03,-1.04E-03,-1.57E-03,8.67E-01
1652,1.67E-03,-1.22E-04,-1.53E-03,2.76E-01
1653,1.44E-04,1.97E-03,-1.13E-03,1.11E+00
1654,-1.34E-03,-1.52E-03,-9.86E-04,1.50E+00
1655,-1.29E-03,1.23E-03,-1.41E-03,1.32E+00
1656,8.26E-04,-1.24E-03,1.70E-03,7.29E+00
1657,9.31E-04,-1.26E-03,1.63E-03,6.78E+00
1658,6.72E-05,-1.98E-03,-1.08E-03,1.47E+00
1659,4.07E-04,2.04E-03,-9.42E-04,1.31E+00
1660,8.91E-04,1.44E-03,-1.52E-03,9.12E-01
1661,2.84E-04,-2.01E-03,-9.85E-04,1.54E+00
1662,2.77E-04,2.03E-03,-1.01E-03,1.25E+00
1663,-1.71E-03,-9.90E-04,-1.10E-03,1.20E+00
1664,1.32E-03,1.84E-03,2.17E-04,5.40E-01
1665,-1.03E-03,1.37E-03,-1.49E-03,1.34E+00
1666,1.63E-03,3.92E-04,-1.53E-03,6.94E-01
1667,1.58E-03,-5.66E-04,-1.52E-03,4.51E-01
