Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
321,-2.94E-04,0.00E+00,-7.66E-03,4.31E-01, null
322,-6.06E-04,0.00E+00,-9.63E-03,2.79E-01, null
323,-5.95E-04,0.00E+00,-9.39E-03,3.02E-01, null
324,-4.66E-04,7.28E-12,-9.71E-03,3.58E-01, null
325,-2.36E-04,0.00E+00,-7.64E-03,4.60E-01, null
326,-5.66E-04,1.82E-12,-8.73E-03,3.19E-01, null
327,-5.84E-04,0.00E+00,-8.78E-03,3.09E-01, null
328,-2.25E-04,0.00E+00,-7.63E-03,4.65E-01, null
329,-5.28E-05,-7.28E-12,-1.06E-02,4.71E-01, null
330,-1.70E-04,-1.82E-12,-1.05E-02,4.58E-01, null
331,-5.68E-04,1.82E-12,-8.67E-03,3.22E-01, null
332,-5.82E-04,0.00E+00,-8.43E-03,2.97E-01, null
333,-4.30E-04,0.00E+00,-1.10E-02,3.98E-01, null
334,-4.25E-04,1.46E-11,-8.35E-03,4.03E-01, null
335,-6.15E-04,0.00E+00,-9.78E-03,2.78E-01, null
336,-2.07E-05,0.00E+00,-1.06E-02,4.70E-01, null
337,3.64E-04,0.00E+00,-9.84E-03,4.28E-01, null
338,3.80E-04,0.00E+00,-9.56E-03,4.36E-01, null
339,-4.34E-04,0.00E+00,-1.10E-02,3.95E-01, null
340,-4.74E-04,-1.82E-12,-1.10E-02,3.74E-01, null
341,-4.14E-04,0.00E+00,-8.01E-03,4.11E-01, null
342,-3.78E-04,0.00E+00,-9.99E-03,4.17E-01, null
343,-4.20E-04,0.00E+00,-1.00E-02,4.01E-01, null
344,-5.91E-04,7.28E-12,-9.31E-03,2.98E-01, null
345,-5.29E-04,0.00E+00,-9.10E-03,3.02E-01, null
346,-3.73E-04,0.00E+00,-1.03E-02,4.22E-01, null
347,3.09E-04,1.09E-11,-7.60E-03,4.35E-01, null
348,-9.34E-04,1.46E-11,-7.70E-03,0.00E+00,4.71E+00
