Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
174,1.09E-03,1.30E-04,-2.25E-03,9.66E-01
175,9.40E-04,1.51E-05,-2.32E-03,1.90E+00
176,7.60E-04,5.68E-04,-2.32E-03,2.39E+00
177,9.67E-04,5.66E-04,-2.24E-03,1.53E+00
178,8.59E-04,3.97E-04,-2.32E-03,2.13E+00
179,-2.47E-04,-8.84E-05,2.49E-03,4.57E+00
180,-3.86E-04,2.07E-05,2.47E-03,2.73E+00
181,-3.78E-04,-1.12E-04,2.47E-03,2.67E+00
182,8.59E-04,-3.67E-04,-2.32E-03,2.09E+00
183,9.49E-04,-5.33E-04,-2.25E-03,1.51E+00
184,7.60E-04,-5.37E-04,-2.32E-03,2.33E+00
185,-4.82E-04,-6.28E-06,2.46E-03,1.13E+00
186,4.70E-04,-7.99E-04,-2.32E-03,2.64E+00
187,4.46E-04,-9.86E-04,-2.25E-03,1.85E+00
188,2.90E-04,-8.79E-04,-2.32E-03,2.84E+00
189,6.29E-04,-6.84E-04,-2.32E-03,2.49E+00
190,6.44E-04,-8.72E-04,-2.25E-03,1.93E+00
191,-2.11E-04,7.96E-05,2.49E-03,5.25E+00
192,-9.83E-05,-9.20E-04,-2.32E-03,3.04E+00
193,-2.28E-04,-1.06E-03,-2.25E-03,7.36E-01
194,-2.90E-04,-8.79E-04,-2.32E-03,3.29E+00
195,9.83E-05,-9.20E-04,-2.32E-03,3.05E+00
196,3.38E-10,-1.08E-03,-2.25E-03,1.17E+00
197,-4.70E-04,-7.99E-04,-2.32E-03,3.37E+00
198,-6.44E-04,-8.72E-04,-2.25E-03,5.40E-01
199,-6.29E-04,-6.84E-04,-2.32E-03,3.04E+00
200,1.41E-03,-1.93E-03,-7.05E-04,9.64E-01
201,1.47E-03,-1.83E-03,-8.39E-04,1.01E+00
202,1.51E-03,-1.84E-03,-7.20E-04,9.50E-01
203,1.04E-03,2.16E-03,-7.48E-04,1.03E+00
204,9.06E-04,2.21E-03,-7.81E-04,1.08E+00
205,9.32E-04,2.25E-03,-6.13E-04,9.94E-01
206,-4.71E-04,-1.84E-03,1.62E-03,6.98E+00
207,-5.19E-04,-1.91E-03,1.51E-03,7.02E+00
208,-3.68E-04,-1.93E-03,1.53E-03,6.88E+00
209,-7.60E-04,-5.37E-04,-2.32E-03,2.91E+00
210,-9.67E-04,-5.36E-04,-2.24E-03,6.21E-01
211,-8.59E-04,-3.67E-04,-2.32E-03,2.83E+00
212,1.19E-03,2.15E-03,-5.40E-04,8.99E-01
213,1.21E-03,2.17E-03,-3.86E-04,8.31E-01
214,1.31E-03,2.11E-03,-4.13E-04,8.47E-01
215,-5.02E-04,-1.83E-04,2.44E-03,1.55E+00
216,1.07E-03,2.19E-03,-6.01E-04,9.59E-01
217,-1.65E-03,1.16E-03,1.50E-03,9.82E+00
218,-1.60E-03,1.33E-03,1.40E-03,9.81E+00
219,1.03E-03,2.26E-03,-4.15E-04,8.63E-01
220,1.15E-03,-2.09E-03,-7.06E-04,9.97E-01
221,1.03E-03,-2.09E-03,-8.76E-04,1.09E+00
222,1.18E-03,-2.02E-03,-8.39E-04,1.04E+00
223,1.26E-03,2.08E-03,-6.61E-04,9.61E-01
224,1.18E-03,2.07E-03,-8.06E-04,1.04E+00
225,-7.69E-04,1.73E-04,2.38E-03,3.53E+00
226,-9.33E-04,1.90E-06,2.32E-03,4.91E+00
227,-7.25E-04,5.80E-05,2.40E-03,2.79E+00
228,1.38E-03,2.03E-03,-5.38E-04,8.88E-01
229,8.62E-04,1.08E-03,-2.10E-03,1.81E+00
230,7.38E-04,1.04E-03,-2.16E-03,2.00E+00
