Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
243,2.87E-03,-3.18E-04,2.07E-03,1.57E-01
244,3.51E-03,2.79E-04,1.03E-03,1.44E-01
245,2.57E-03,-3.83E-04,2.12E-03,1.27E-01
246,3.45E-03,4.54E-04,1.09E-03,1.31E-01
247,3.09E-03,4.86E-04,1.91E-03,1.41E-01
248,3.22E-03,5.12E-04,1.80E-03,1.30E-01
249,3.45E-03,-2.70E-04,9.36E-04,1.42E-01
250,3.48E-03,-7.99E-05,8.77E-04,1.49E-01
251,2.73E-03,6.22E-04,1.97E-03,1.27E-01
252,2.76E-03,7.50E-04,1.84E-03,1.36E-01
253,2.90E-03,4.39E-04,2.03E-03,1.44E-01
254,2.59E-03,-1.94E-04,2.17E-03,1.33E-01
255,3.34E-03,-3.99E-04,8.26E-04,1.61E-01
256,3.25E-03,6.53E-04,1.56E-03,1.14E-01
257,2.79E-03,8.45E-04,1.71E-03,1.62E-01
258,3.28E-03,6.87E-04,1.34E-03,1.11E-01
259,2.88E-03,-3.01E-05,2.13E-03,1.61E-01
260,2.60E-03,2.39E-04,2.17E-03,1.17E-01
261,2.89E-03,1.21E-04,2.13E-03,1.59E-01
262,3.33E-03,6.29E-04,1.14E-03,1.12E-01
263,3.45E-03,2.24E-04,8.62E-04,1.36E-01
264,3.46E-03,7.27E-05,8.26E-04,1.41E-01
265,2.78E-03,-1.70E-04,2.14E-03,1.62E-01
266,2.69E-03,4.95E-04,2.06E-03,1.25E-01
267,3.20E-03,6.10E-04,1.70E-03,1.23E-01
268,3.01E-03,8.57E-04,1.45E-03,1.58E-01
269,2.82E-03,2.49E-04,2.12E-03,1.57E-01
270,3.16E-03,7.87E-04,1.14E-03,1.44E-01
271,3.29E-03,5.48E-04,8.32E-04,1.37E-01
272,2.70E-03,-5.70E-05,2.17E-03,1.47E-01
273,3.35E-03,3.48E-04,7.36E-04,1.17E-01
274,3.37E-03,1.55E-04,6.94E-04,1.13E-01
275,3.36E-03,-1.89E-04,7.07E-04,1.60E-01
276,2.93E-03,8.22E-04,1.63E-03,1.42E-01
277,2.71E-03,-3.04E-04,2.12E-03,1.46E-01
278,3.42E-03,3.93E-04,9.15E-04,1.22E-01
279,2.72E-03,3.73E-04,2.11E-03,1.43E-01
280,3.36E-03,5.37E-04,9.93E-04,1.17E-01
281,2.73E-03,9.37E-05,2.17E-03,1.53E-01
282,2.93E-03,6.13E-04,1.90E-03,1.40E-01
283,3.08E-03,6.18E-04,1.80E-03,1.34E-01
284,3.40E-03,-8.02E-06,7.28E-04,1.28E-01
285,3.12E-03,8.13E-04,1.33E-03,1.39E-01
286,2.93E-03,7.37E-04,1.76E-03,1.30E-01
287,3.26E-03,6.77E-04,1.02E-03,1.19E-01
288,3.16E-03,7.58E-04,1.46E-03,1.22E-01
289,3.09E-03,7.33E-04,1.63E-03,1.25E-01
290,1.82E-03,-1.07E-03,1.89E-03,2.31E+00
291,1.61E-03,3.36E-04,2.31E-03,3.49E+00
292,2.60E-03,1.12E-03,2.39E-04,8.07E-01
293,1.65E-03,7.53E-04,2.18E-03,3.02E+00
294,1.98E-03,-1.29E-03,1.56E-03,1.56E+00
295,1.71E-03,9.45E-04,2.06E-03,2.69E+00
296,2.79E-03,-5.04E-04,-7.88E-05,1.14E+00
297,1.89E-03,1.21E-03,1.75E-03,1.90E+00
298,1.97E-03,1.31E-03,1.58E-03,1.62E+00
299,2.74E-03,-7.05E-04,1.49E-07,9.93E-01
300,2.69E-03,-8.89E-04,1.04E-04,8.61E-01
301,2.33E-03,1.43E-03,7.84E-04,8.44E-01
302,2.26E-03,-1.41E-03,9.53E-04,8.49E-01
303,1.64E-03,-5.24E-04,2.25E-03,3.38E+00
304,1.66E-03,-7.44E-04,2.17E-03,3.07E+00
305,1.72E-03,-9.33E-04,2.04E-03,2.68E+00
306,1.60E-03,1.17E-04,2.34E-03,3.71E+00
307,2.73E-03,7.78E-04,-2.11E-05,9.63E-01
308,1.63E-03,5.44E-04,2.26E-03,3.35E+00
309,2.17E-03,-1.40E-03,1.17E-03,1.02E+00
310,2.83E-03,-8.07E-05,-1.67E-04,1.25E+00
311,2.68E-03,9.44E-04,1.19E-04,9.61E-01
312,2.78E-03,5.58E-04,-8.62E-05,1.12E+00
313,2.52E-03,1.26E-03,4.04E-04,7.68E-01
314,2.05E-03,1.39E-03,1.39E-03,1.35E+00
315,2.44E-03,-1.32E-03,5.63E-04,7.10E-01
316,2.53E-03,-1.21E-03,3.83E-04,6.94E-01
317,-1.71E-03,2.22E-03,5.05E-04,8.30E-01
318,-1.84E-03,2.10E-03,5.58E-04,9.94E-01
319,-1.73E-03,2.16E-03,6.93E-04,1.23E+00
320,-1.66E-03,2.29E-03,3.24E-04,5.71E-01
321,-1.80E-03,2.18E-03,3.57E-04,6.22E-01
322,-1.71E-03,2.10E-03,8.83E-04,1.61E+00
323,-1.80E-03,1.98E-03,9.76E-04,1.78E+00
324,-1.66E-03,2.05E-03,1.07E-03,2.04E+00
325,6.89E-04,2.52E-03,1.13E-03,1.79E+00
326,8.53E-04,2.51E-03,1.04E-03,1.43E+00
327,7.22E-04,2.59E-03,9.44E-04,1.36E+00
328,-1.58E-03,2.36E-03,1.56E-04,5.47E-01
329,-1.74E-03,2.25E-03,1.64E-04,4.42E-01
330,-4.51E-04,2.79E-03,-3.87E-04,2.31E+00
331,-5.41E-04,2.75E-03,-5.43E-04,2.25E+00
332,-6.47E-04,2.75E-03,-3.92E-04,2.23E+00
333,7.21E-04,2.65E-03,7.54E-04,1.17E+00
334,8.62E-04,2.65E-03,6.22E-04,9.54E-01
335,6.89E-04,2.71E-03,5.66E-04,1.43E+00
336,-1.02E-03,1.96E-03,1.79E-03,2.71E+00
337,-9.56E-04,1.86E-03,1.93E-03,2.65E+00
338,-8.40E-04,1.97E-03,1.87E-03,2.87E+00
339,8.10E-04,2.70E-03,4.11E-04,1.18E+00
340,6.25E-04,2.76E-03,3.83E-04,1.65E+00
341,-6.49E-04,2.00E-03,1.92E-03,3.30E+00
342,-5.45E-04,1.91E-03,2.04E-03,2.72E+00
343,-4.54E-04,2.03E-03,1.94E-03,3.15E+00
344,-1.58E-03,2.01E-03,1.25E-03,2.27E+00
345,-1.65E-03,1.86E-03,1.39E-03,2.30E+00
346,-1.48E-03,1.98E-03,1.41E-03,2.35E+00
347,2.70E-04,2.25E-03,1.73E-03,3.07E+00
348,4.81E-04,2.18E-03,1.77E-03,2.61E+00
349,4.13E-04,2.31E-03,1.61E-03,2.91E+00
350,5.33E-04,2.79E-03,2.11E-04,2.09E+00
351,6.04E-04,2.79E-03,3.39E-05,1.90E+00
352,4.13E-04,2.82E-03,5.40E-05,2.25E+00
353,-1.34E-03,2.51E-03,-1.26E-04,1.29E+00
354,-1.52E-03,2.40E-03,-2.08E-04,9.60E-01
355,-1.48E-03,2.44E-03,4.88E-06,7.91E-01
356,-1.02E-03,2.64E-03,-3.15E-04,1.90E+00
357,-1.16E-03,2.57E-03,-4.34E-04,1.63E+00
358,-1.19E-03,2.58E-03,-2.33E-04,1.54E+00
359,-1.83E-03,2.04E-03,7.69E-04,1.39E+00
360,-1.52E-03,1.82E-03,1.57E-03,2.44E+00
361,-1.35E-03,1.96E-03,1.56E-03,2.48E+00
362,1.07E-04,2.18E-03,1.83E-03,3.41E+00
363,3.09E-04,2.10E-03,1.89E-03,2.68E+00
364,-1.36E-03,2.48E-03,-3.47E-04,1.28E+00
365,2.70E-04,2.84E-03,-8.39E-05,2.11E+00
366,3.02E-04,2.82E-03,-3.09E-04,1.89E+00
367,1.08E-04,2.84E-03,-1.99E-04,2.23E+00
368,8.74E-04,2.58E-03,8.35E-04,1.05E+00
369,-1.19E-03,1.96E-03,1.69E-03,2.72E+00
370,-1.15E-03,1.84E-03,1.84E-03,2.63E+00
371,-7.10E-05,2.13E-03,1.89E-03,3.65E+00
372,1.12E-04,2.03E-03,1.99E-03,2.62E+00
373,-6.94E-05,2.84E-03,-2.90E-04,2.46E+00
374,-1.21E-04,2.81E-03,-4.77E-04,2.16E+00
375,-2.57E-04,2.82E-03,-3.53E-04,2.30E+00
376,-2.60E-04,2.08E-03,1.93E-03,3.43E+00
377,-1.21E-04,1.99E-03,2.03E-03,2.77E+00
378,-3.32E-04,1.95E-03,2.05E-03,2.78E+00
379,-7.54E-04,1.88E-03,2.00E-03,2.80E+00
380,2.07E-03,-1.36E-03,1.37E-03,1.24E+00
381,1.90E-03,-1.19E-03,1.73E-03,1.93E+00
382,1.62E-03,-3.19E-04,2.31E-03,3.54E+00
383,1.61E-03,-1.02E-04,2.33E-03,3.67E+00
384,1.81E-03,1.09E-03,1.91E-03,2.26E+00
385,2.15E-03,1.43E-03,1.20E-03,1.14E+00
386,2.83E-03,1.38E-04,-1.67E-04,1.25E+00
387,2.81E-03,3.50E-04,-1.36E-04,1.23E+00
388,2.61E-03,-1.07E-03,2.20E-04,7.20E-01
389,2.43E-03,1.36E-03,5.87E-04,7.98E-01
390,2.23E-03,1.46E-03,9.89E-04,9.64E-01
391,2.82E-03,-2.97E-04,-1.37E-04,1.20E+00
392,2.36E-03,-1.36E-03,7.66E-04,8.00E-01
393,-1.71E-03,-2.07E-03,8.74E-04,1.78E+00
